0	    949	   1034
              1	    949	   1034
              2	    949	   1034
              3	    949	   1034
              4	    949	   1034
              5	    949	   1034
              6	    949	   1034
              7	    949	   1034
              8	    947	   1034
              9	    947	   1031
             10	    947	   1031
             11	    948	   1034
             12	    952	   1037
             13	    952	   1037
             14	    950	   1032
             15	    951	   1033
             16	    950	   1031
             17	    952	   1035
             18	    953	   1038
             19	    955	   1039
             20	    956	   1037
             21	    955	   1035
             22	    955	   1038
             23	    958	   1040
             24	    959	   1042
             25	    962	   1041
             26	    963	   1042
             27	    962	   1041
             28	    962	   1041
             29	    964	   1045
             30	    968	   1048
             31	    974	   1049
             32	    974	   1048
             33	    975	   1049
             34	    977	   1051
             35	    980	   1053
             36	    985	   1056
             37	    991	   1057
             38	    992	   1059
             39	    992	   1058
             40	    997	   1060
             41	   1000	   1066
             42	   1006	   1070
             43	   1012	   1071
             44	   1015	   1072
             45	   1017	   1075
             46	   1021	   1075
             47	   1024	   1079
             48	   1030	   1084
             49	   1036	   1083
             50	   1038	   1087
             51	   1039	   1087
             52	   1039	   1091
             53	   1044	   1094
             54	   1046	   1094
             55	   1051	   1095
             56	   1050	   1095
             57	   1053	   1094
             58	   1051	   1095
             59	   1056	   1098
             60	   1057	   1102
             61	   1059	   1103
             62	   1061	   1101
             63	   1059	   1098
             64	   1057	   1097
             65	   1058	   1100
             66	   1056	   1101
             67	   1054	   1099
             68	   1052	   1098
             69	   1048	   1093
             70	   1041	   1093
             71	   1040	   1091
             72	   1038	   1090
             73	   1035	   1086
             74	   1028	   1080
             75	   1023	   1077
             76	   1014	   1074
             77	   1011	   1072
             78	   1007	   1069
             79	   1005	   1065
             80	    999	   1060
             81	    995	   1057
             82	    991	   1053
             83	    989	   1051
             84	    987	   1050
             85	    983	   1049
             86	    981	   1045
             87	    980	   1041
             88	    978	   1039
             89	    975	   1040
             90	    976	   1040
             91	    975	   1039
             92	    975	   1036
             93	    971	   1032
             94	    971	   1032
             95	    971	   1034
             96	    972	   1037
             97	    973	   1034
             98	    970	   1032
             99	    971	   1030
            100	    969	   1030
            101	    971	   1031
            102	    969	   1033
            103	    971	   1033
            104	    970	   1031
            105	    971	   1029
            106	    968	   1027
            107	    967	   1028
            108	    969	   1031
            109	    972	   1033
            110	    974	   1033
            111	    971	   1032
            112	    970	   1029
            113	    971	   1033
            114	    976	   1036
            115	    975	   1036
            116	    974	   1033
            117	    974	   1032
            118	    973	   1034
            119	    976	   1035
            120	    978	   1038
